,Current_Page_Url,Title,Links,Images_with_url,Paragraph,Heading1,Heading2,Heading3,Heading4,Heading5,UnorderList,TableData
0,https://www.namal.edu.pk/department-of-business-studies,Namal Institute,https://namal.edu.pk/,https://namal.edu.pk/uploads/logo22869383.png,Please visit our fundraising website below:,Departments,"
							Program Educational Objectives", , ,To Contribute,"
    ","
								"
1, , ,https://namal.edu.pk/academic-calendar,/ckEditorImages/uploads/userfiles/bba_banner.svg,"
	", ,"
							Scheme of Studies", , ,"
					Visiting Namal",Academic Calendar,"
									"
2, , ,https://namal.edu.pk/people#faculty,https://namal.edu.pk/uploads/logo4980416.png,"
	", ,"
								List of Possible Specializations", , ,"
					Important Links","
    ","
										"
3, , ,https://namal.edu.pk/quality-enhancement-cell, ,"
							BBA program in Namal Business School focuses on giving an international perspective on business concepts coupled with high transfer of learning and opportunity to acquire pragmatic knowledge of various businesses including agribusiness. The aim of the program is to provide students with knowledge, skills and attitude that will help them to resolve diverse business challenges in their professional life. The main objectives of the program are:", ,"
							Faculty", , ,"
					Resources",|,"
											Semester 1"
4, , ,https://lms.namal.edu.pk/, ,"
							Since 2019, after the Charter of Namal Institute has been passed through the act of Punjab Assembly, the authorities of the Institute have approved the following Scheme of Studies:", , , , , ,"   
    ","
									"
5, , ,http://library.namal.edu.pk/, ,"
							Total Credit Hours = 125", , , , , ,Faculty,"
									"
6, , ,https://namal.edu.pk/contact-us, , , , , , , ,"
    ","
										"
7, , ,#about, ,"
	 ", , , , , ,|,"
											Code"
8, , ,https://namal.edu.pk/chairmans-message, ,"
	 ", , , , , ,"
    ","
										"
9, , ,https://namal.edu.pk/vision-and-mission, ,"
	 ", , , , , ,QEC,"
											Course"
10, , ,https://namal.edu.pk/core-values, ,"
	 ", , , , , ,"
    ","
										"
11, , ,https://namal.edu.pk/the-namal-story, ,"
	 ", , , , , ,|,"
											Theory"
12, , ,https://namal.edu.pk/namal-knowledge-city, ,"
	 ", , , , , ,"
    ","
										"
13, , ,https://namal.edu.pk/people, ,"
	 ", , , , , ,NULMS,"
											Lab"
14, , ,https://namal.edu.pk/quality-enhancement-cell, , , , , , , ,"
    ","
										"
15, , ,#academics, , , , , , , ,|,"
											Pre-req"
16, , ,https://namal.edu.pk/academic-calendar, , , , , , , ,"
    ","
									"
17, , ,https://namal.edu.pk/student-handbook, , , , , , , ,Library,"
								"
18, , ,#departments, , , , , , , ,"
    ","
								"
19, , ,#, , , , , , , ,|,"
									"
20, , ,https://namal.edu.pk/department-of-electrical-engineering, , , , , , , ,"
    ","
										"
21, , ,https://namal.edu.pk/department-of-computer-science, , , , , , , ,Contact Us,"
											ENG-111"
22, , ,https://namal.edu.pk/department-of-business-studies, , , , , , , ,"
","
										"
23, , ,https://namal.edu.pk/department-of-mathematics, , , , , , , ,"
        ","
											Technical Writing and Communication"
24, , ,#, , , , , , , ,About        ,"
										"
25, , ,https://namal.edu.pk/office-of-the-registrar, , , , , , , ,        ,"
											3"
26, , ,https://namal.edu.pk/office-of-the-coe, , , , , , , ,"
                ","
										"
27, , ,https://namal.edu.pk/office-of-the-treasurer, , , , , , , ,"

                      ","
											0"
28, , ,#admissions, , , , , , , ,Chairman's Message,"
										"
29, , ,https://namal.edu.pk/apply, , , , , , , ,"
                            ","
											 "
30, , ,https://namal.edu.pk/why-namal, , , , , , , ,Vision And Mission,"
									"
31, , ,https://namal.edu.pk/admission-timeline, , , , , , , ,"
                            ","
									"
