,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Admissions,Heading2,Heading3,Heading4,To,Academic,Academic
,Links Tokens,Paragraph Tokens,Heading1 Tokens,Heading2 Tokens,Heading3 Tokens,Heading4 Tokens,Heading5 Tokens,UnorderList Tokens,TableData Tokens
0,academic-calendar,Please,Admissions,Heading2,Heading3,Heading4,To,Academic,Academic
1,people,visit,Heading1, , , ,Contribute,Calendar,Calendar
2,#,our,PEOPLE, , , ,Visiting,|,|
3,faculty,fundraising,PLANET, , , ,Namal,Faculty,Faculty
4,quality-enhancement-cell,website,PROFIT, , , ,Important,|,|
5,lms.namal.edu.pk,below,NEWS, , , ,Links,QEC,QEC
6,http,:,EVENTS, , , ,Resources,|,|
7,:,Bank,ACADEMICS, , , ,Heading5,NULMS,NULMS
8,library.namal.edu.pk,account,B.S, , , ,To,|,|
9,contact-us,details,., , , ,Contribute,Library,Library
10,#,are,Electrical, , , ,Visiting,|,|
11,about,provided,Engineering, , , ,Namal,Contact,Contact
12,chairmans-message,below,B.S, , , ,Important,Us,Us
13,vision-and-mission,:,., , , ,Links,About,About
14,core-values,Muslim,Computer, , , ,Resources,Chairman,Chairman
15,the-namal-story,Commercial,Science, , , , ,'s,'s
16,namal-knowledge-city,Bank,Business, , , , ,Message,Message
17,people,(,Studies, , , , ,Vision,Vision
18,quality-enhancement-cell,MCB,B.S, , , , ,And,And
19,#,),., , , , ,Mission,Mission
20,academics,Ltd,Mathematics, , , , ,Core,Core
21,academic-calendar,.,ADMISSIONS, , , , ,Values,Values
22,student-handbook,Namal,RESEARCH, , , , ,The,The
23,#,Institute,Rural, , , , ,Namal,Namal
24,departments,Mianwali,and, , , , ,Story,Story
25,#,Fee,Agriculture, , , , ,Namal,Namal
26,department-of-electrical-engineering,Collection,Informatics, , , , ,Knowledge,Knowledge
27,department-of,1121930011000966,Lab, , , , ,City,City
28,puter-science,Paragraph, , , , , ,People,People
29,department-of-business-studies,Please, , , , , ,Quality,Quality
30,department-of-mathematics,visit, , , , , ,Enhancement,Enhancement
31,#,our, , , , , ,Cell,Cell
32,office-of-the-registrar,fundraising, , , , , ,Academics,Academics
33,office-of-the-coe,website, , , , , ,Academic,Academic
34,office-of-the-treasurer,below, , , , , ,Calendar,Calendar
35,#,:, , , , , ,Student,Student
36,admissions,Social, , , , , ,Handbook,Handbook
37,apply,impact, , , , , ,Departments,Departments
38,why-namal,is, , , , , ,Academic,Academic
39,admission-timeline,one, , , , , ,Departments,Departments
40,admission-criteria,of, , , , , ,Department,Department
41,entry-test-guidelines,the, , , , , ,Of,Of
42,financial-aid,key, , , , , ,Electrical,Electrical
43,fee-structure,values, , , , , ,Engineering,Engineering
44,deposit-slip,at, , , , , ,Department,Department
45,faqs,Namal, , , , , ,Of,Of
46,#,., , , , , ,Computer,Computer
47,life-at-namal,Students, , , , , ,Science,Science
48,workshops-and-seminars,uphold, , , , , ,Department,Department
49,facilities,the, , , , , ,Of,Of
50,green-namal,spirit, , , , , ,Business,Business
51,news-events,of, , , , , ,Studies,Studies
52,apply,giving, , , , , ,Department,Department
53,namalknowledgecity,back, , , , , ,Of,Of
54,academic-calendar,to, , , , , ,Mathematics,Mathematics
55,people,society, , , , , ,Administrative,Administrative
56,#,through, , , , , ,Departments,Departments
57,faculty,various, , , , , ,Office,Office
58,quality-enhancement-cell,programs, , , , , ,Of,Of
59,lms.namal.edu.pk,of, , , , , ,The,The
60,http,community, , , , , ,Registrar,Registrar
61,:,service, , , , , ,Office,Office
62,library.namal.edu.pk,",", , , , , ,Of,Of
63,contact-us,such, , , , , ,The,The
64,apply,as, , , , , ,CoE,CoE
65,why-namal,blood, , , , , ,Office,Office
66,admission-timeline,drives, , , , , ,Of,Of
67,admission-criteria,and, , , , , ,The,The
68,entry-test-guidelines,providing, , , , , ,Treasurer,Treasurer
69,financial-aid,local, , , , , ,Admissions,Admissions
70,fee-structure,kids, , , , , ,Apply,Apply
71,deposit-slip,free-of-cost, , , , , ,Now,Now
72,faqs,tuition, , , , , ,Why,Why
73,#,on, , , , , ,Namal,Namal
74,#,campus, , , , , ,?,?
75,ckEditorImages,., , , , , ,Admission,Admission
76,uploads,Our, , , , , ,Timeline,Timeline
77,userfiles,goal, , , , , ,Admission,Admission
78,Finance,is, , , , , ,Criteria,Criteria
79,%,to, , , , , ,Entry,Entry
80,20Policies.pdf,become, , , , , ,Test,Test
81,ckEditorImages,a, , , , , ,Guidelines,Guidelines
82,uploads,leading, , , , , ,Financial,Financial
83,userfiles,practitioner, , , , , ,Aid,Aid
84,deposit_slip.pdf,of, , , , , ,Fee,Fee
85,namalknowledgecity,environmental, , , , , ,Structure,Structure
86,apply,sustainability, , , , , ,Deposit,Deposit
87,academic-calendar,and, , , , , ,Slip,Slip
88,people,instilling, , , , , ,FAQs,FAQs
89,#,this, , , , , ,Life,Life
90,faculty,value, , , , , ,At,At
91,nulms.namal.edu.pk,amongst, , , , , ,Namal,Namal
92,http,our, , , , , ,Workshops,Workshops
93,:,students, , , , , ,And,And
94,library.namal.edu.pk,., , , , , ,Seminars,Seminars
95,#,We, , , , , ,Facilities,Facilities
96,!,do, , , , , ,Green,Green
97,facilities,so, , , , , ,Namal,Namal
98,facebook,by, , , , , ,News,News
99,NAmalInstitute,ensuring, , , , , ,&,&
100,twitter,the, , , , , ,Events,Events
101,namaledu,use, , , , , ,Apply,Apply
102,instagram,of, , , , , ,Online,Online
103,namalknowledgecity,renewable, , , , , ,Contribute,Contribute
104,mailto,energy, , , , , ,Academic,Academic
105,:,resources, , , , , ,Calendar,Calendar
106,info,and, , , , , ,|,|
107,@,recycling, , , , , ,Faculty,Faculty
108,namal.edu.pk,waste, , , , , ,|,|
109,youtube,., , , , , ,QEC,QEC
110,channel,Our, , , , , ,|,|
111,UCWfFHczAYAn-mfqMgmmKsVQ,students, , , , , ,NULMS,NULMS
112,forecast7,are, , , , , ,|,|
113,en,trained, , , , , ,Library,Library
114,32d6771d81,to, , , , , ,|,|
115,namal,practically, , , , , ,Contact,Contact
116,Links,utilize, , , , , ,Us,Us
117,academic-calendar,the, , , , , ,Apply,Apply
118,people,knowledge, , , , , ,Now,Now
119,#,acquired, , , , , ,Why,Why
120,faculty,during, , , , , ,Namal,Namal
121,quality-enhancement-cell,their, , , , , ,?,?
122,lms.namal.edu.pk,studies, , , , , ,Admission,Admission
123,http,as, , , , , ,Timeline,Timeline
124,:,well, , , , , ,Admission,Admission
125,library.namal.edu.pk,as, , , , , ,Criteria,Criteria
126,contact-us,entrepreneurial, , , , , ,Entry,Entry
127,#,skills, , , , , ,Test,Test
128,about,to, , , , , ,Guidelines,Guidelines
129,chairmans-message,eventually, , , , , ,Financial,Financial
130,vision-and-mission,gain, , , , , ,Aid,Aid
131,core-values,the, , , , , ,Fee,Fee
132,the-namal-story,skills, , , , , ,Structure,Structure
133,namal-knowledge-city,needed, , , , , ,Deposit,Deposit
134,people,to, , , , , ,Slip,Slip
135,quality-enhancement-cell,run, , , , , ,FAQs,FAQs
136,#,their, , , , , ,Home,Home
137,academics,own, , , , , ,Admissions,Admissions
138,academic-calendar,successful, , , , , ,Fee,Fee
139,student-handbook,business, , , , , ,Structure,Structure
140,#,., , , , , ,Namal,Namal
141,departments,Latest, , , , , ,Institute,Institute
142,#,From, , , , , ,believes,believes
143,department-of-electrical-engineering,Namal, , , , , ,that,that
144,department-of,What, , , , , ,education,education
145,puter-science,'s, , , , , ,is,is
146,department-of-business-studies,Happening, , , , , ,the,the
147,department-of-mathematics,at, , , , , ,right,right
148,#,Namal, , , , , ,of,of
149,office-of-the-registrar,?, , , , , ,everyone,everyone
150,office-of-the-coe,Programmes, , , , , ,regardless,regardless
151,office-of-the-treasurer,At, , , , , ,of,of
152,#,Namal, , , , , ,their,their
153,admissions,What, , , , , ,financial,financial
154,apply,Makes, , , , , ,background,background
155,why-namal,Namal, , , , , ,.,.
156,admission-timeline,A, , , , , ,Therefore,Therefore
157,admission-criteria,Great, , , , , ,",",","
158,entry-test-guidelines,Choice, , , , , ,generous,generous
159,financial-aid,?, , , , , ,merit,merit
160,fee-structure,Students, , , , , ,and,and
161,deposit-slip,on, , , , , ,need,need
