,Term,Documented Frequency,Posting List
0,academic-calendar,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
1,peopl,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
2,faculti,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
3,quality-enhancement-cel,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
4,lms.namal.edu.pk,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
5,http,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
6,:,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
7,library.namal.edu.pk,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
8,contact-u,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
9,about,57,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54', 'Doc_55', 'Doc_56']"
10,chairmans-messag,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
11,vision-and-miss,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
12,core-valu,55,"['Doc_0', 'Doc_1', 'Doc_2', 'Doc_3', 'Doc_4', 'Doc_5', 'Doc_6', 'Doc_7', 'Doc_8', 'Doc_9', 'Doc_10', 'Doc_11', 'Doc_12', 'Doc_13', 'Doc_14', 'Doc_15', 'Doc_16', 'Doc_17', 'Doc_18', 'Doc_19', 'Doc_20', 'Doc_21', 'Doc_22', 'Doc_23', 'Doc_24', 'Doc_25', 'Doc_26', 'Doc_27', 'Doc_28', 'Doc_29', 'Doc_30', 'Doc_31', 'Doc_32', 'Doc_33', 'Doc_34', 'Doc_35', 'Doc_36', 'Doc_37', 'Doc_38', 'Doc_39', 'Doc_40', 'Doc_41', 'Doc_42', 'Doc_43', 'Doc_44', 'Doc_45', 'Doc_46', 'Doc_47', 'Doc_48', 'Doc_49', 'Doc_50', 'Doc_51', 'Doc_52', 'Doc_53', 'Doc_54']"
